jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
-4.1,-1.0,5.7,13.9,20.9,25.6,25.9,25.0,20.9,11.8,4.1,-3.3,12.1
-7.6,-1.6,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
999.9,999.9,999.9,999.9,20.6,23.9,27.7,26.1,19.7,11.3,3.0,-3.0,999.9
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
-1.8,-3.6,3.2,10.3,19.3,24.1,26.4,25.1,20.4,11.7,3.4,-1.5,11.4
-5.5,-4.1,6.1,14.5,20.5,26.6,26.5,23.9,19.2,12.5,1.1,-1.8,11.6
-1.9,-4.5,4.3,14.0,21.1,25.7,25.8,25.5,20.3,13.7,1.7,-3.7,11.8
-6.8,-3.8,3.2,12.5,20.8,25.2,25.3,25.4,18.8,13.3,4.1,-0.6,11.5
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
-5.8,-1.7,3.6,13.1,21.2,23.6,27.1,24.8,18.2,12.8,2.3,-5.0,11.2
-5.7,-2.8,3.1,11.9,19.5,24.0,24.6,24.3,20.4,12.3,3.4,-4.7,10.9
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
-2.3,-0.4,5.7,13.9,21.3,24.8,25.3,24.8,19.6,13.8,3.2,-2.8,12.2
999.9,999.9,999.9,12.5,19.2,22.9,25.7,24.7,18.8,13.0,5.6,-0.4,999.9
-2.8,-1.4,3.5,11.9,20.3,24.1,26.6,24.3,19.4,12.6,4.8,-4.7,11.6
-6.9,-1.9,5.3,14.3,19.0,25.9,26.4,25.0,18.5,12.5,3.7,-5.3,11.4
-3.5,-0.4,6.0,13.6,17.7,23.7,25.5,24.2,20.0,13.0,2.8,-4.6,11.5
-7.3,-0.2,6.7,14.3,20.4,25.2,25.9,26.5,20.4,12.7,4.3,-3.0,12.2
-2.7,-0.1,4.8,13.3,19.8,23.6,26.5,24.9,21.3,13.6,3.9,-1.7,12.3
-3.4,-4.2,6.2,16.0,21.9,24.7,27.8,26.4,19.4,15.6,5.7,-2.4,12.8
-7.6,-0.1,5.4,16.0,19.7,26.7,27.2,25.6,19.4,13.5,2.2,-1.8,12.2
-4.8,-1.8,5.8,12.9,20.6,25.3,26.6,25.4,20.0,9.2,3.0,-2.0,11.7
-2.6,-1.8,3.6,14.0,22.2,25.5,24.3,25.7,20.9,9.0,6.0,-2.4,12.0
-3.5,-1.9,3.7,13.5,18.5,23.2,25.7,24.5,20.8,14.7,5.9,-2.6,11.9
-3.2,999.9,6.7,999.9,20.4,24.5,26.7,26.4,20.6,13.7,5.6,999.9,999.9
999.9,999.9,999.9,999.9,999.9,999.9,27.5,26.1,21.8,999.9,7.2,-2.9,999.9
999.9,-2.2,5.9,14.8,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
-4.2,999.9,999.9,999.9,999.9,999.9,27.2,26.0,21.9,14.2,4.9,-4.1,999.9
-4.8,-1.0,7.1,14.6,20.9,25.6,27.4,25.0,20.7,13.6,2.0,-1.6,12.5
-3.9,-3.5,6.1,12.4,19.5,25.1,26.3,25.5,20.6,12.3,4.7,-3.2,11.8
-1.6,-3.2,3.9,13.5,21.1,24.3,26.3,25.4,20.3,12.9,4.8,-0.7,12.3
-6.1,-2.2,2.3,12.9,20.6,22.2,26.2,24.5,20.9,12.4,3.7,-1.1,11.4
-5.7,0.4,3.9,12.1,20.8,23.6,26.7,23.9,19.5,11.9,4.3,-0.6,11.7
-3.0,1.7,7.8,15.1,20.7,24.3,26.5,25.7,22.1,15.1,3.2,-6.7,12.7
-7.3,-4.7,1.9,12.6,19.8,25.4,27.0,25.4,20.4,14.0,4.1,-1.9,11.4
-3.6,-0.7,3.6,12.4,21.4,24.4,26.6,25.5,999.9,999.9,999.9,999.9,999.9
999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
-4.9,-1.3,5.2,14.0,19.5,24.3,26.6,27.2,19.3,12.4,2.6,-1.7,11.9
-6.3,-1.7,6.6,14.3,21.0,23.5,26.6,22.5,20.1,13.7,4.0,-1.8,11.9
-4.1,-2.5,6.2,12.8,20.6,23.6,26.3,25.0,21.1,12.9,5.0,-2.0,12.1
-4.4,-3.4,7.6,14.4,18.9,27.3,27.1,25.0,20.6,12.7,5.4,-2.0,12.4
-6.1,-0.7,6.9,13.9,20.9,26.7,27.7,25.6,19.3,14.3,4.3,-2.0,12.6
-3.2,-1.5,5.5,13.3,19.4,25.6,27.5,24.7,20.9,13.2,3.8,-6.1,11.9
-5.9,-4.2,4.2,16.8,19.8,25.4,27.1,26.1,20.5,13.6,7.0,-1.6,12.4
-3.4,0.1,2.8,14.6,19.1,26.7,26.8,25.4,20.3,14.0,5.8,-4.5,12.3
-6.4,-4.9,2.3,15.1,20.1,24.0,26.0,24.9,18.5,11.6,0.9,-6.0,10.5
-4.7,-0.7,5.4,15.9,19.0,26.0,25.7,25.3,20.3,12.1,2.8,-0.6,12.2
-2.6,0.6,5.2,14.1,21.0,24.6,24.1,24.9,19.3,13.6,4.7,-4.0,12.1
-3.5,-0.8,6.5,13.7,18.8,23.3,25.5,25.0,19.6,13.0,3.0,-2.1,11.8
-6.8,-2.0,4.4,12.4,20.9,25.2,25.9,25.8,18.3,13.7,4.6,1.0,12.0
-2.7,-4.3,4.4,14.2,21.1,25.9,26.3,24.3,20.1,12.6,3.7,-5.3,11.7
-5.9,-3.5,7.0,13.7,18.9,23.9,26.3,23.6,20.2,14.7,4.2,-2.0,11.8
-3.4,-0.8,3.6,13.0,18.9,22.1,23.4,24.3,19.4,12.2,5.7,-5.7,11.1
-4.7,-1.1,1.9,13.4,20.0,24.9,26.6,25.4,20.0,11.3,4.5,-0.9,11.8
-3.8,-3.1,2.5,12.9,18.1,22.1,25.8,23.8,20.2,11.6,1.2,-5.7,10.5
-5.3,-5.9,1.7,13.0,20.7,23.0,25.5,24.2,17.7,12.5,5.4,-2.1,10.9
-5.0,-1.6,3.8,13.5,19.9,25.1,26.2,23.9,20.2,11.3,4.6,0.6,11.9
-4.3,0.2,7.6,13.4,20.9,23.5,25.7,24.6,18.9,13.4,2.5,-1.7,12.1
-5.7,2.0,5.6,13.8,19.1,25.1,26.6,25.0,20.3,12.5,3.4,-3.6,12.0
-3.6,1.3,7.7,15.0,21.1,25.1,27.6,24.8,19.1,11.8,6.3,-3.0,12.8
-3.1,-0.8,4.8,13.3,21.6,23.9,26.2,25.9,20.4,12.4,3.5,0.1,12.4
-3.9,-1.1,7.1,12.8,19.5,26.3,27.2,25.5,20.0,12.0,4.6,-2.6,12.3
-3.0,-5.2,4.2,11.8,21.1,24.4,25.7,24.4,19.2,11.8,5.4,-1.4,11.5
-4.9,-1.7,4.4,10.9,20.8,24.6,26.9,24.8,20.2,14.1,4.6,-3.9,11.7
-5.7,-2.5,3.4,12.6,19.7,23.8,25.6,25.0,18.7,12.8,3.7,-4.7,11.0
-4.8,-3.3,4.8,12.8,22.1,23.7,25.3,25.1,18.3,13.0,2.0,-6.0,11.1
-5.6,-4.9,5.7,14.2,20.3,25.5,26.9,24.2,19.7,11.2,3.9,-1.7,11.6
-6.4,-5.1,2.1,12.9,19.3,23.3,24.6,24.2,19.6,12.3,2.8,-3.4,10.5
-5.6,-2.0,2.0,13.6,19.7,22.8,24.8,23.8,18.9,13.0,3.0,-3.1,10.9
-4.2,-2.9,1.7,13.0,19.8,23.8,25.6,23.8,19.2,12.5,6.2,-3.8,11.2
-4.9,-3.9,5.1,13.8,18.2,25.5,27.1,23.8,18.5,12.1,3.4,-2.0,11.4
-4.0,-2.4,6.5,14.6,18.8,22.3,24.7,24.4,19.3,11.2,4.4,-1.7,11.5
-4.2,-2.0,4.0,13.6,19.3,23.4,25.0,24.5,19.0,11.0,3.4,-3.6,11.1
-3.3,-2.0,6.2,14.6,19.1,24.0,26.2,25.0,20.7,13.2,5.5,-2.7,12.2
-3.7,0.1,3.9,11.4,18.9,22.4,23.8,23.0,19.2,11.6,2.0,-2.4,10.9
-7.6,-2.2,6.0,14.3,18.5,22.9,25.9,24.1,19.7,13.3,4.6,-0.9,11.6
-3.5,-2.3,4.6,14.0,18.5,24.7,25.8,23.9,19.2,12.0,5.0,-2.7,11.6
-4.2,-0.5,4.6,10.5,18.4,22.5,25.1,23.6,18.3,13.8,2.5,-1.6,11.1
-4.5,-2.9,4.2,10.5,19.3,24.2,26.3,23.7,18.2,11.4,6.0,-3.9,11.0
-4.8,-1.4,7.2,16.0,20.5,25.4,27.8,24.8,20.3,11.3,2.3,-1.4,12.3
